player_id,game_id,player_name,role,is_werewolf,similarity,attempts,status,threshold
game1_Player3,1,Player3,Werewolf,True,0.8144499063491821,0,EXISTING,0.8
game1_Player4,1,Player4,Villager,False,0.8126916885375977,0,EXISTING,0.8
game1_Player5,1,Player5,Villager,False,0.7905237078666687,5,FAILED_TO_REACH,0.8
game1_Player2,1,Player2,Villager,False,0.8182392120361328,0,EXISTING,0.8
game1_Player1,1,Player1,FortuneTeller,False,0.8402971625328064,0,EXISTING,0.8
game2_Player2,2,Player2,Villager,False,0.7309668660163879,5,FAILED_TO_REACH,0.8
game2_Player3,2,Player3,Werewolf,True,0.8013138175010681,0,EXISTING,0.8
game2_Player1,2,Player1,Villager,False,0.760400652885437,5,FAILED_TO_REACH,0.8
game2_Player4,2,Player4,Villager,False,0.754118800163269,5,FAILED_TO_REACH,0.8
game2_Player5,2,Player5,FortuneTeller,False,0.7794366478919983,5,FAILED_TO_REACH,0.8
game3_Player5,3,Player5,Villager,False,0.733970582485199,5,FAILED_TO_REACH,0.8
game3_Player2,3,Player2,Werewolf,True,0.732379138469696,5,FAILED_TO_REACH,0.8
game3_Player1,3,Player1,FortuneTeller,False,0.8183177709579468,0,EXISTING,0.8
game3_Player3,3,Player3,Villager,False,0.8391938805580139,0,EXISTING,0.8
game3_Player4,3,Player4,Villager,False,0.822612464427948,0,EXISTING,0.8
game4_Player2,4,Player2,Villager,False,0.8298869132995605,0,EXISTING,0.8
game4_Player5,4,Player5,Werewolf,True,0.7429874539375305,5,FAILED_TO_REACH,0.8
game4_Player3,4,Player3,Villager,False,0.7431856393814087,5,FAILED_TO_REACH,0.8
game4_Player1,4,Player1,Villager,False,0.7363614439964294,5,FAILED_TO_REACH,0.8
game4_Player4,4,Player4,FortuneTeller,False,0.7191199064254761,5,FAILED_TO_REACH,0.8
game5_Player1,5,Player1,Villager,False,0.7586420774459839,5,FAILED_TO_REACH,0.8
game5_Player2,5,Player2,Werewolf,True,0.737682044506073,5,FAILED_TO_REACH,0.8
game5_Player3,5,Player3,FortuneTeller,False,0.8155368566513062,4,SUCCESS,0.8
game5_Player5,5,Player5,Villager,False,0.7089423537254333,5,FAILED_TO_REACH,0.8
game5_Player4,5,Player4,Villager,False,0.815090000629425,0,EXISTING,0.8
game6_Player5,6,Player5,Villager,False,0.8106260299682617,0,EXISTING,0.8
game6_Player2,6,Player2,Villager,False,0.8108046054840088,0,EXISTING,0.8
game6_Player4,6,Player4,Villager,False,0.8041173815727234,0,EXISTING,0.8
game6_Player1,6,Player1,FortuneTeller,False,0.8138362169265747,0,EXISTING,0.8
game6_Player3,6,Player3,Werewolf,True,0.7308250665664673,5,FAILED_TO_REACH,0.8
game7_Player3,7,Player3,Villager,False,0.7322002053260803,5,FAILED_TO_REACH,0.8
game7_Player5,7,Player5,Villager,False,0.7368647456169128,5,FAILED_TO_REACH,0.8
game7_Player4,7,Player4,Villager,False,0.8069493770599365,0,EXISTING,0.8
game7_Player2,7,Player2,Werewolf,True,0.8094130754470825,0,EXISTING,0.8
game7_Player1,7,Player1,FortuneTeller,False,0.8251846432685852,0,EXISTING,0.8
game8_Player3,8,Player3,FortuneTeller,False,0.827832818031311,0,EXISTING,0.8
game8_Player1,8,Player1,Villager,False,0.724269688129425,5,FAILED_TO_REACH,0.8
game8_Player2,8,Player2,Villager,False,0.8010694980621338,2,SUCCESS,0.8
game8_Player4,8,Player4,Villager,False,0.8389435410499573,0,EXISTING,0.8
game8_Player5,8,Player5,Werewolf,True,0.8041117787361145,0,EXISTING,0.8
game9_Player3,9,Player3,FortuneTeller,False,0.7583536505699158,5,FAILED_TO_REACH,0.8
game9_Player4,9,Player4,Villager,False,0.8182310461997986,0,EXISTING,0.8
game9_Player5,9,Player5,Werewolf,True,0.8078784942626953,0,EXISTING,0.8
game9_Player1,9,Player1,Villager,False,0.8301849365234375,0,EXISTING,0.8
game9_Player2,9,Player2,Villager,False,0.8247601985931396,0,EXISTING,0.8
game10_Player4,10,Player4,Villager,False,0.7133738398551941,5,FAILED_TO_REACH,0.8
game10_Player1,10,Player1,Werewolf,True,0.8126626014709473,0,EXISTING,0.8
game10_Player3,10,Player3,FortuneTeller,False,0.8303572535514832,0,EXISTING,0.8
game10_Player2,10,Player2,Villager,False,0.8276897668838501,0,EXISTING,0.8
game10_Player5,10,Player5,Villager,False,0.8356801867485046,0,EXISTING,0.8
